Well,Fluor,Content,Sample,Cq,Call,End RFU
E17,HEX,Pos Ctrl,,NaN,,-0.834156058940516
F01,HEX,Unkn,,NaN,,-0.179211141725773
F02,HEX,Pos Ctrl,,NaN,,-3.55686925922273
F16,HEX,Unkn,,NaN,,-0.698658784786221
F17,HEX,Pos Ctrl,,NaN,,-5.88939797953999
G01,HEX,Unkn,,23.1860358919846,(+) Positive,302.915924735281
G02,HEX,Pos Ctrl,,18.9348593083962,(+) Positive,447.703332391079
G16,HEX,Unkn,,28.7514210757946,(+) Positive,329.669266594019
G17,HEX,Pos Ctrl,,23.4785328136051,(+) Positive,529.813495124703
H01,HEX,Unkn,,36.2372765581064,(+) Positive,132.204159533788
H02,HEX,Neg Ctrl,,NaN,,-1.32692856229824
H16,HEX,Unkn,,NaN,,0.288844941085335
H17,HEX,Neg Ctrl,,NaN,,1.02903420755556
I01,HEX,Unkn,,NaN,,-4.99359438486008
I16,HEX,Unkn,,NaN,,-8.59140219724677
J01,HEX,Unkn,,NaN,,0.00315299840121952
J16,HEX,Unkn,,NaN,,-3.09581854212456
K01,HEX,Unkn,,35.9673112531891,(+) Positive,144.525625855167
K16,HEX,Unkn,,NaN,,-1.30169176452382
L01,HEX,Unkn,,18.939134837056,(+) Positive,380.453678458157
L16,HEX,Unkn,,25.4524356878532,(+) Positive,269.314885429046
M01,HEX,Unkn,,NaN,,-1.37672184898784
M16,HEX,Unkn,,NaN,,-2.9094427310607
N01,HEX,Unkn,,21.069506367863,(+) Positive,423.117634874956
N16,HEX,Unkn,,27.2430552707447,(+) Positive,334.714351596993
O01,HEX,Unkn,,NaN,,-4.53430016687598
O16,HEX,Unkn,,NaN,,0.785707724816348
P01,HEX,Unkn,,32.073944701153,(+) Positive,317.774900856456
P16,HEX,Unkn,,NaN,,-0.217313437902067
A01,Texas Red,Unkn,,NaN,,0.692600710969691
A02,Texas Red,Unkn,,NaN,,-0.69713700547527
B01,Texas Red,Unkn,,NaN,,2.35939426397881
B02,Texas Red,Unkn,,NaN,,-0.560457900803431
C01,Texas Red,Unkn,,NaN,,0.832403339010762
C02,Texas Red,Unkn,,NaN,,-0.0055802710471653
D01,Texas Red,Unkn,,NaN,,0.966526667556445
D02,Texas Red,Unkn,,NaN,,2.11734187371612
E01,Texas Red,Unkn,,NaN,,1.12450169403292
E02,Texas Red,Pos Ctrl,,NaN,,11.0789728962893
F01,Texas Red,Unkn,,NaN,,1.18355651604488
F02,Texas Red,Pos Ctrl,,NaN,,2.42525221684928
G01,Texas Red,Unkn,,NaN,,2.07396468338129
G02,Texas Red,Pos Ctrl,,NaN,,2.08768133982703
H01,Texas Red,Unkn,,NaN,,2.39058738520425
H02,Texas Red,Neg Ctrl,,NaN,,1.47931941026281
I01,Texas Red,Unkn,,NaN,,0.170816906690288
J01,Texas Red,Unkn,,33.2265178622878,(+) Positive,190.456878351766
K01,Texas Red,Unkn,,29.2822726719671,(+) Positive,297.537267281502
L01,Texas Red,Unkn,,NaN,,0.756741755913208
M01,Texas Red,Unkn,,NaN,,0.482328266109016
N01,Texas Red,Unkn,,NaN,,1.65260415667963
O01,Texas Red,Unkn,,NaN,,2.68396220920586
P01,Texas Red,Unkn,,NaN,,3.00588469123159
