Well,Fluor,Content,Sample,Cq,Call,End RFU
A24,Cy5,Unkn,,NaN,,4.03369160370266
B24,Cy5,Unkn,,NaN,,1.78381399637201
C24,Cy5,Unkn,,NaN,,2.70166394165526
D24,Cy5,Unkn,,NaN,,3.90503638933451
E24,Cy5,Unkn,,30.1929883858169,(+) Positive,958.701322996057
F24,Cy5,Unkn,,NaN,,2.33523892564608
G24,Cy5,Unkn,,32.132280216082,(+) Positive,875.364477492134
H24,Cy5,Unkn,,32.0758352024332,(+) Positive,927.663886210816
I24,Cy5,Unkn,,NaN,,2.90746381643194
J24,Cy5,Unkn,,NaN,,1.87312628286518
K24,Cy5,Unkn,,28.7311245032673,(+) Positive,1059.38332786652
L24,Cy5,Pos Ctrl,,NaN,,2.59818957757334
M24,Cy5,Pos Ctrl,,NaN,,3.08951630045767
N24,Cy5,Pos Ctrl,,30.1538206250377,(+) Positive,1062.20318614989
O24,Cy5,Neg Ctrl,,NaN,,2.94386256124126
P24,Cy5,Neg Ctrl,,NaN,,0.707553876541169
A01,FAM,Unkn,,NaN,,-2.13530581006453
A24,FAM,Unkn,,NaN,,-2.45017300632244
B01,FAM,Unkn,,NaN,,-0.849726872262545
B24,FAM,Unkn,,27.6525369936501,(+) Positive,931.149827453795
C01,FAM,Unkn,,29.672284739941,(+) Positive,490.759545941866
C24,FAM,Unkn,,30.5485421777592,(+) Positive,738.480524115349
D01,FAM,Unkn,,NaN,,-0.0929958562621323
D24,FAM,Unkn,,NaN,,-1.14044859792666
E01,FAM,Unkn,,30.3888919491633,(+) Positive,531.785766648168
E24,FAM,Unkn,,31.2839925616435,(+) Positive,654.521388213125
F01,FAM,Unkn,,34.0765016232825,(+) Positive,346.723840530435
F24,FAM,Unkn,,36.0899618939587,(+) Positive,193.073086522123
G01,FAM,Unkn,,32.2503905447066,(+) Positive,438.745708044103
G24,FAM,Unkn,,31.3588322272879,(+) Positive,547.794309651852
H01,FAM,Unkn,,30.7174063888132,(+) Positive,482.867720570974
H24,FAM,Unkn,,31.6092030115074,(+) Positive,589.956458084491
I01,FAM,Unkn,,27.1016418672686,(+) Positive,570.220860884882
I24,FAM,Unkn,,27.3223700187867,(+) Positive,924.757214284652
J01,FAM,Unkn,,36.4989722999473,,87.8549583794251
J24,FAM,Unkn,,39.9339295011961,,25.9023042745483
K01,FAM,Unkn,,NaN,,-1.11849259030341
K24,FAM,Unkn,,NaN,,-2.76995498072665
L01,FAM,Pos Ctrl,,23.9894807951441,(+) Positive,615.698714225783
L24,FAM,Pos Ctrl,,25.0305097854175,(+) Positive,1041.47033070305
M01,FAM,Pos Ctrl,,NaN,,-0.948082161196908
M24,FAM,Pos Ctrl,,NaN,,-1.63205726557608
N01,FAM,Pos Ctrl,,NaN,,-0.444601622307891
N24,FAM,Pos Ctrl,,NaN,,-0.195167174587823
O01,FAM,Neg Ctrl,,NaN,,-2.05099035953717
O24,FAM,Neg Ctrl,,NaN,,0.843300864706816
P01,FAM,Neg Ctrl,,NaN,,-1.69308251904085
P24,FAM,Neg Ctrl,,NaN,,-2.59774291781368
A01,HEX,Unkn,,NaN,,-0.197043918765758
A24,HEX,Unkn,,NaN,,-0.33223545560395
B01,HEX,Unkn,,NaN,,-0.712475656992683
B24,HEX,Unkn,,NaN,,-8.60213963500055
C01,HEX,Unkn,,26.0954458087574,(+) Positive,310.495189744211
C24,HEX,Unkn,,33.9246752462237,(+) Positive,108.160905834467
D01,HEX,Unkn,,NaN,,-0.185508001181188
D24,HEX,Unkn,,NaN,,-0.731764230953922
E01,HEX,Unkn,,NaN,,-4.97641697673835
E24,HEX,Unkn,,NaN,,-7.84064533854598
F01,HEX,Unkn,,NaN,,-3.22762948788786
F24,HEX,Unkn,,NaN,,-2.79961191019611
G01,HEX,Unkn,,NaN,,-4.71444808646284
G24,HEX,Unkn,,NaN,,-6.95254600733424
H01,HEX,Unkn,,NaN,,-3.89666182318242
H24,HEX,Unkn,,NaN,,-7.50345357079104
I01,HEX,Unkn,,25.7432058245205,(+) Positive,317.309397455668
I24,HEX,Unkn,,32.6102331511967,(+) Positive,121.214633029686
J01,HEX,Unkn,,22.946255076366,(+) Positive,370.267976763075
J24,HEX,Unkn,,30.1867739929587,(+) Positive,147.085133331796
K01,HEX,Unkn,,NaN,,-0.960092036211881
K24,HEX,Unkn,,NaN,,-1.22359880780077
L01,HEX,Pos Ctrl,,NaN,,-0.280528125726869
L24,HEX,Pos Ctrl,,NaN,,-6.11020322042632
M01,HEX,Pos Ctrl,,12.9661776920315,(+) Positive,276.115100731333
M24,HEX,Pos Ctrl,,21.2372841809143,(+) Positive,164.913891098057
N01,HEX,Pos Ctrl,,NaN,,-0.763742565149278
N24,HEX,Pos Ctrl,,NaN,,0.171987886952138
O01,HEX,Neg Ctrl,,NaN,,0.494777123029417
O24,HEX,Neg Ctrl,,NaN,,-1.87361306170169
P01,HEX,Neg Ctrl,,NaN,,-0.486039521891871
P24,HEX,Neg Ctrl,,NaN,,1.12664056823087
A01,Texas Red,Unkn,,38.6562493290493,,27.8565828798673
B01,Texas Red,Unkn,,NaN,,-0.572113390899631
C01,Texas Red,Unkn,,NaN,,2.20732154966554
D01,Texas Red,Unkn,,NaN,,1.27401204225216
E01,Texas Red,Unkn,,30.0240752672867,(+) Positive,317.666662894024
F01,Texas Red,Unkn,,NaN,,5.62989357003808
G01,Texas Red,Unkn,,31.6344792597742,(+) Positive,256.808231825874
H01,Texas Red,Unkn,,30.8296570378543,(+) Positive,288.200284052674
I01,Texas Red,Unkn,,NaN,,4.58330651203023
J01,Texas Red,Unkn,,NaN,,5.26117206154395
K01,Texas Red,Unkn,,27.8915168735804,(+) Positive,352.501370304715
L01,Texas Red,Pos Ctrl,,NaN,,5.10327774024372
M01,Texas Red,Pos Ctrl,,NaN,,4.46919651420922
N01,Texas Red,Pos Ctrl,,30.693025531591,(+) Positive,298.525488134239
O01,Texas Red,Neg Ctrl,,NaN,,5.50366332792373
P01,Texas Red,Neg Ctrl,,NaN,,8.35690036253118
